c_system_abbr,facility,n,best_guesses,c_facility_name
WI,FOX LAKE CORRECTIONAL INSTITUTION,2,FOX LAKE CORRECTIONAL INSTITUTION,FOX LAKE CORRECTIONAL INSTITUTION
WI,GORDON CORRECTIONAL CENTER,2,GORDON CORRECTIONAL CENTER,GORDON CORRECTIONAL CENTER
WI,GREEN BAY CORRECTIONAL INSTITUTION,2,GREEN BAY CORRECTIONAL INSTITUTION,GREEN BAY CORRECTIONAL INSTITUTION
WI,JACKSON CORRECTIONAL INSTITUTION,2,JACKSON CORRECTIONAL INSTITUTION,JACKSON CORRECTIONAL INSTITUTION
WI,JOHN C. BURKE CORRECTIONAL CENTER,2,JOHN C BURKE CORRECTIONAL CENTER,JOHN C BURKE CORRECTIONAL CENTER
WI,KENOSHA CORRECTIONAL CENTER,2,KENOSHA CORRECTIONAL CENTER,KENOSHA CORRECTIONAL CENTER
WI,KETTLE MORAINE CORRECTIONAL INSTITUTION,2,KETTLE MORAINE CORRECTIONAL INSTITUTION,KETTLE MORAINE CORRECTIONAL INSTITUTION
WI,MARSHALL E. SHERRER CORRECTIONAL CENTER,2,MARSHALL E. SHERRER CORRECTIONAL CENTER,MARSHALL E. SHERRER CORRECTIONAL CENTER
WI,MCNAUGHTON CORRECTIONAL CENTER,2,MCNAUGHTON CORRECTIONAL CENTER,MCNAUGHTON CORRECTIONAL CENTER
WI,MILWAUKEE SECURE DETENTION FACILITY,2,MILWAUKEE SECURE DETENTION FACILITY,MILWAUKEE SECURE DETENTION FACILITY
WI,MILWAUKEE WOMEN'S CORRECTIONAL CENTER,2,MILWAUKEE WOMEN'S CORRECTIONAL CENTER,MILWAUKEE WOMEN'S CORRECTIONAL CENTER
WI,NEW LISBON CORRECTIONAL INSTITUTION,2,NEW LISBON CORRECTIONAL INSTITUTION,NEW LISBON CORRECTIONAL INSTITUTION
WI,OAKHILL CORRECTIONAL INSTITUTION,2,OAKHILL CORRECTIONAL INSTITUTION,OAKHILL CORRECTIONAL INSTITUTION
WI,OREGON CORRECTIONAL CENTER,2,OREGON CORRECTIONAL CENTER,OREGON CORRECTIONAL CENTER
WI,OSHKOSH CORRECTIONAL INSTITUTION,2,OSHKOSH CORRECTIONAL INSTITUTION,OSHKOSH CORRECTIONAL INSTITUTION
WI,PRAIRIE DU CHIEN CORRECTIONAL INSTITUTION,2,PRAIRIE DU CHIEN CORRECTIONAL FACILITY,PRAIRIE DU CHIEN CORRECTIONAL FACILITY
WI,RACINE CORRECTIONAL INSTITUTION/STURTEVANT TRANSITIONAL FACILITY,2,STURTEVANT TRANSITIONAL FACILITY,STURTEVANT TRANSITIONAL FACILITY
WI,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY,2,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY,RACINE YOUTHFUL OFFENDER CORRECTIONAL FACILITY
WI,REDGRANITE CORRECTIONAL INSTITUTION,2,REDGRANITE CORRECTIONAL INSTITUTION,REDGRANITE CORRECTIONAL INSTITUTION
WI,ROBERT E. ELLSWORTH CORRECTIONAL CENTER,2,ROBERT E ELLSWORTH CORRECTIONAL CENTER,ROBERT E ELLSWORTH CORRECTIONAL CENTER
WI,SANGER B. POWERS CORRECTIONAL CENTER,2,SANGER BOWERS CORRECTIONAL CENTER,SANGER B. POWERS CORRECTIONAL CENTER
WI,ST. CROIX CORRECTIONAL CENTER,2,ST. CROIX CORRECTIONAL CENTER,ST. CROIX CORRECTIONAL CENTER
WI,STANLEY CORRECTIONAL INSTITUTION,2,STANLEY CORRECTIONAL INSTITUTION,STANLEY CORRECTIONAL INSTITUTION
WI,TAYCHEEDAH CORRECTIONAL INSTITUTION,2,TAYCHEEDAH CORRECTIONAL INSTITUTION,TAYCHEEDAH CORRECTIONAL INSTITUTION
WI,THOMPSON CORRECTIONAL CENTER,2,THOMPSON CORRECTIONAL CENTER,THOMPSON CORRECTIONAL CENTER
WI,WAUPUN CORRECTIONAL INSTITUTION,2,WAUPUN CORRECTIONAL INSTITUTION,WAUPUN CORRECTIONAL INSTITUTION
WI,WINNEBAGO CORRECTIONAL CENTER,2,WINNEBAGO CORRECTIONAL CENTER,WINNEBAGO CORRECTIONAL CENTER
WI,WISCONSIN SECURE PROGRAM FACILITY,2,WISCONSIN SECURE PROGRAM FACILITY,WISCONSIN SECURE PROGRAM FACILITY
NA,PUTNAM CI,2,NA,NA
AK,KETCHIKAN CORRECTIONAL CENTER,1,KETCHIKAN CORRECTIONAL CENTER,KETCHIKAN CORRECTIONAL CENTER
AK,MAT-SU PRETRIAL,1,MAT-SU PRETRIAL,MAT-SU PRETRIAL
AK,SPRING CREEK CORRECTIONAL CENTER,1,SPRING CREEK CORRECTIONAL CENTER,SPRING CREEK CORRECTIONAL CENTER
AL,BIBB CORRECTIONAL FACILITY,1,BIBB CORRECTIONAL FACILITY,BIBB CORRECTIONAL FACILITY
AL,BULLOCK CORRECTIONAL FACILITY,1,BULLOCK CORRECTIONAL FACILITY,BULLOCK CORRECTIONAL FACILITY
AL,DONALDSON CORRECTIONAL FACILITY,1,DONALDSON CORRECTIONAL FACILITY,DONALDSON CORRECTIONAL FACILITY
AL,HOLMAN CORRECTIONAL FACILITY,1,HOLMAN CORRECTIONAL FACILITY,HOLMAN CORRECTIONAL FACILITY
AL,VENTRESS CORRECTIONAL FACILITY,1,VENTRESS CORRECTIONAL FACILITY,VENTRESS CORRECTIONAL FACILITY
AR,CUMMINS UNIT,1,CUMMINS UNIT,CUMMINS UNIT
AR,MCPHERSON UNIT,1,MCPHERSON UNIT,MCPHERSON UNIT
AR,MISSISSIPPI COUNTY WORK RELEASE CENTER,1,MISSISSIPPI COUNTY WORK RELEASE CENTER,MISSISSIPPI COUNTY WORK RELEASE CENTER
AR,NORTH CENTRAL UNIT,1,NORTH CENTRAL UNIT,NORTH CENTRAL UNIT
AR,PINE BLUFF UNIT,1,PINE BLUFF COMPLEX,NA
AR,RANDALL L. WILLIAMS CORRECTIONAL FACILITY,1,RANDALL L. WILLIAMS CORRECTIONAL FACILITY,RANDALL L. WILLIAMS CORRECTIONAL FACILITY
AR,THE BOWIE COUNTY (TEXAS) CORRECTIONAL CENTER,1,TEXARKANA REGIONAL CORRECTIONAL CENTER,NA
AR,TUCKER UNIT,1,TUCKER UNIT,TUCKER UNIT
AZ,APSC-TUCSON,1,ASPC-TUCSON,NA
AZ,ARIZONA STATE PRISON COMPLEX-TUCSON,1,DISMAS CCC - TUCSON,NA
AZ,ASC-FLORENCE,1,ASPC-FLORENCE,NA
AZ,ASCP-LEWIS,1,ASPC - LEWIS,NA
AZ,ASP - FLORENCE WEST,1,ASP-FLORENCE WEST,NA
AZ,ASPC - EYMAN,1,ASPC-EYMAN,NA
AZ,"ASPC-EYMAN, SMU I UNIT",1,"ASPC-EYMAN, ASP-KINGMAN CERBAT UNIT",NA
AZ,ASPC-FLORENCE - CENTRAL UNIT,1,ASPC-FLORENCE PICACHO UNIT,NA
AZ,ASPC-KINGMAN,1,ASPC-EYMAN,NA
AZ,"ASPC-KINGMAN, CERBAT UNIT",1,ASP-KINGMAN CERBAT UNIT,NA
AZ,"ASPC-LEWIS, MOREY UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,"ASPC-LEWIS, STINER UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,ASPC-PERRYILLE,1,ASPC - PERRYVILLE,NA
AZ,ASPC-PHEONIX,1,ASPC-PHOENIX,NA
AZ,ASPC-PHOENIX WEST,1,ASP-PHOENIX WEST,NA
AZ,"ASPC-SAFFORD, FT. GRANT UNIT",1,ASPC-SAFFORD FORT GRANT,NA
AZ,"ASPC-TUCSON, CIMARRON UINT",1,ASPC-FLORENCE PICACHO UNIT,NA
AZ,"ASPC-TUCSON, CIMARRON UNIT",1,ASPC-FLORENCE PICACHO UNIT,NA
AZ,"ASPC-TUCSON, MANZANITA UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,"ASPC-TUCSON, SANTA RITA UNIT",1,ASPC-WINSLOW APACHE UNIT,NA
AZ,ASPC-WINSLOW (WAS IN TEMPORARY CUSTODY OF THE U.S. MARSHALS SERVICE SINCE AUG 2018),1,ASPC-TUCSON SOUTHERN ARIZONA CORRECTIONAL RELEASE CENTER(SACRC),NA
AZ,ASPC_LEWIS,1,ASPC - LEWIS,NA
AZ,ASPC_TUCSON,1,ASPC-TUCSON,NA
AZ,ASPX-PHOENIX,1,ASPC-PHOENIX,NA
AZ,BOP FACILITY,1,"ASPC-YUMA, ASPC - LEWIS, TUCSON FCI, BSSW- CSC MINT",NA
AZ,CENTRAL ARIZONA CORRECTIONAL & REHABILITATION FACILITY,1,ASP - CENTRAL ARIZONA CORRECTIONAL FACILITY,NA
AZ,FLORENCE WEST CORRECTIONAL AND REHABILITATION FACILITY,1,MARANA COMMUNITY CORRECTIONAL TREATMENT FACILITY,NA
AZ,HE WAS CURRENTLY HOUSED OUT OF STATE WITH THE NEW MEXICO CORRECTIONS DEPARTMENT THROUGH AN INTERSTATE COMPACT.,1,ASPC-TUCSON SOUTHERN ARIZONA CORRECTIONAL RELEASE CENTER(SACRC),NA
AZ,OUT OF STATE,1,"TUCSON FCI, TUCSON USP",NA
AZ,PINAL COUNTY ADULT DETENTION CENTER,1,NEW BEGINNINGS TREATMENT CENTER,NA
BOP,ALLENWOOD LOW FCI,1,NA,NA
BOP,ALLENWOOD USP,1,NA,NA
BOP,BASTROP FCI,1,NA,NA
BOP,BROOKLYN MDC,1,NA,NA
BOP,COLEMAN I USP,1,NA,NA
BOP,COLEMAN LOW FCI,1,NA,NA
BOP,DANBURY FCI,1,NA,NA
BOP,EL RENO FCI,1,NA,NA
BOP,FCI FLORENCE - SATELLITE CAMP,1,NA,NA
BOP,GILMER FCI,1,NA,NA
BOP,GUAYNABO MDC,1,NA,NA
BOP,LEWISBURG USP,1,NA,NA
BOP,LOMPOC USP,1,NA,NA
BOP,LORETTO FCI,1,NA,NA
BOP,LOS ANGELES MDC,1,NA,NA
BOP,MIAMI FCI,1,NA,NA
BOP,OTISVILLE FCI,1,NA,NA
BOP,SAFFORD FCI,1,NA,NA
BOP,SAN DIEGO MCC,1,NA,NA
BOP,VICTORVILLE USP,1,NA,NA
BOP,YAZOO CITY MEDIUM FCI,1,NA,NA
CA,ALDER CONSERVATION CAMP,1,ALDER CONSERVATION CAMP,ALDER CONSERVATION CAMP
CA,CA INSTITUTION FOR WOMEN,1,CALIFORNIA INSTITUTION FOR WOMEN,CALIFORNIA INSTITUTION FOR WOMEN
CA,CA MENS COLONY,1,CALIFORNIA MENS COLONY,CALIFORNIA MENS COLONY
CA,FENNER CANYON CONSERVATION CAMP,1,FENNER CANYON CONSERVATION CAMP,FENNER CANYON CONSERVATION CAMP
CA,IRONWOOD STATE PRISON,1,IRONWOOD STATE PRISON,IRONWOOD STATE PRISON
CA,MALIBU CONSERVATION CAMP,1,MALIBU CONVERSATION CAMP,NA
CA,MEN'S CENTRAL JAIL,1,MENDOTA FCI,NA
CA,SIERRA CONSERVATION CENTER,1,SIERRA CONSERVATION CENTER,SIERRA CONSERVATION CENTER
CA,VALLEY STATE PRISON,1,"KERN VALLEY STATE PRISON, FOLSOM STATE PRISON",NA
CO,COLORADO TERRITORIAL CF,1,COLORADO CORRECTIONAL CENTER,COLORADO TERRITORIAL CORRECTIONAL FACILITY
CO,STERLING CF,1,FLORENCE FCI,NA
DE,DELAWARE PSYCHIATRIC CENTER,1,SUSSEX WORK RELEASE CENTER,NA
DE,MORRIS COMMUNITY CORRECTIONS CENTER,1,MORRIS COMMUNITY CORRECTION CENTER,MORRIS COMMUNITY CORRECTION CENTER
DE,PLUMMER COMMUNITY CORRECTIONS,1,PLUMMER COMMUNITY CORRECTION CENTER,PLUMMER COMMUNITY CORRECTION CENTER
FL,AVON PARK CI,1,"MARION WORK CAMP, WALTON WORK CAMP",NA
FL,CALHOUN CI,1,MARIANNA FCI,NA
FL,CENTURY CI,1,"CENTURY WORK CAMP, MIAMI FCI",NA
FL,HAMILTON ANNEX,1,HAMILTON ANNEX,HAMILTON ANNEX
FL,HERNANDO CI,1,MARIANNA FCI,NA
FL,HOMESTEAD CI,1,"LOWELL ANNEX, HOLMES WORK CAMP, MIAMI FCI, MARIANNA FCI, COLEMAN MED FCI",NA
FL,JEFFERSON CI,1,"DESOTO ANNEX, TAYLOR ANNEX, MIAMI FCI, MARIANNA FCI, COLEMAN LOW FCI",NA
FL,LOWELL ANNEX,1,LOWELL ANNEX,LOWELL ANNEX
FL,MAYO ANNEX,1,TAYLOR ANNEX,NA
FL,SANTA ROSA ANNEX,1,SANTA ROSA ANNEX,SANTA ROSA ANNEX
FL,SANTA ROSA CI,1,SANTA ROSA ANNEX,SANTA ROSA CORRECTIONAL INSTITUTION
GA,CALHOUN STATE PRISON,1,CALHOUN STATE PRISON,CALHOUN STATE PRISON
GA,CENTRAL STATE PRISON,1,CENTRAL STATE PRISON,CENTRAL STATE PRISON
GA,COFFEE CORRECTIONAL FACILITY,1,COFFEE CORRECTIONAL FACILITY,COFFEE CORRECTIONAL FACILITY
GA,DODGE STATE PRISON,1,DODGE STATE PRISON,DODGE STATE PRISON
GA,DOOLY STATE PRISON,1,DOOLY STATE PRISON,DOOLY STATE PRISON
GA,PULASKI STATE PRISON,1,PULASKI STATE PRISON,PULASKI STATE PRISON
GA,ROGERS STATE PRISON,1,ROGERS STATE PRISON,ROGERS STATE PRISON
HI,HAWAII COMMUNITY CORRECTIONAL CENTER,1,HAWAII COMMUNITY CORRECTIONAL CENTER,HAWAII COMMUNITY CORRECTIONAL CENTER
HI,KULANI CORRECTIONAL FACILITY,1,HALAWA CORRECTIONAL FACILITY,NA
HI,OAHU COMMUNITY CORRECTIONAL CENTER,1,OAHU COMMUNITY CORRECTIONAL CENTER,OAHU COMMUNITY CORRECTIONAL CENTER
IA,CLARINDA,1,LUSTER HEIGHTS,NA
IA,HOSPICE AT THE IOWA MEDICAL AND CLASSIFICATION CENTER,1,IOWA MEDICAL & CLASSIFICATION CENTER,NA
IA,JONES REGIONAL MEDICAL CENTER,1,CORRECTIONAL RELEASE CENTER,NA
IA,MOUNT PLEASANT CORRECTIONAL FACILITY,1,MOUNT PLEASANT CORRECTIONAL FACILITY,MOUNT PLEASANT CORRECTIONAL FACILITY
IA,NEWTON CORRECTIONAL FACILITY,1,NEWTON CORRECTIONAL FACILITY,NEWTON CORRECTIONAL FACILITY
IA,NORTH CENTRAL CORRECTIONAL FACILITY,1,NORTH CENTRAL CORRECTIONAL FACILITY,NORTH CENTRAL CORRECTIONAL FACILITY
IA,THE FORT DODGE CORRECTIONAL FACILITY,1,FORT DODGE CORRECTIONAL FACILITY,NA
IA,UNITY POINT MEDICAL CENTER IN FORT DODGE,1,"IOWA MEDICAL & CLASSIFICATION CENTER, IOWA CORRECTIONAL INSTITUTE FOR WOMEN",NA
ICE,BAKER COUNTY DETENTION CENTER,1,NA,NA
ICE,BAKER COUNTY DETENTION CENTER (BCDC),1,NA,NA
ICE,CALHOUN COUNTY JAIL (CCJ),1,NA,NA
ICE,CENTRAL LOUISIANA ICE PROCESSING CENTER (CLIPC),1,NA,NA
ICE,CIBOLA COUNTY CORRECTIONAL CENTER (CCCC),1,NA,NA
ICE,DENVER CONTRACT DETENTION FACILITY (DCDF),1,NA,NA
ICE,E ELOY DETENTION CENTER (EDC),1,NA,NA
ICE,EL VALLE DETENTION FACILITY (EVDF),1,NA,NA
ICE,ENFORCEMENT AND REMOVAL OPERATIONS (ERO),1,NA,NA
ICE,ENFORCEMENT AND REMOVAL OPERATIONS (ERO)  PHOENIX,1,NA,NA
ICE,ENFORCEMENT AND REMOVAL OPERATIONS (ERO) ATLANTA,1,NA,NA
ICE,ENFORCEMENT AND REMOVAL OPERATIONS (ERO) NEW ORLEANS,1,NA,NA
ICE,ETOWAH COUNTY JAIL (ECJ),1,NA,NA
ICE,"FOLKSTON ICE PROCESSING CENTER (FIPC),",1,NA,NA
ICE,GLADES COUNTY DETENTION CENTER (GCDC),1,NA,NA
ICE,HOUSTON CONTRACT DETENTION FACILITY (HCDF),1,NA,NA
ICE,IRWIN COUNTY DETENTION CENTER (ICDC),1,NA,NA
ICE,JOE CORLEY PROCESSING CENTER (JCPC),1,NA,NA
ICE,KARNES COUNTY ICE PROCESSING CENTER,1,NA,NA
ICE,KARNES COUNTY RESIDENTIAL CENTER (KCRC),1,NA,NA
ICE,KROME NORTH SERVICE PROCESSING CENTER (KNSPC),1,NA,NA
ICE,KROME NORTH SERVICE PROCESSING CENTER (KSPC),1,NA,NA
ICE,KROME SERVICE PROCESSING CENTER (KSPC),1,NA,NA
ICE,"MCALLEN, TX USBP STATION",1,NA,NA
ICE,MCHENRY COUNTY ADULT CORRECTIONAL FACILITY (MCACF),1,NA,NA
ICE,MERIT HEALTH RIVER OAKS (MHRO) HOSPITAL,1,NA,NA
ICE,MESA VERDE ICE PROCESSING FACILITY (MVIPF),1,NA,NA
ICE,MONROE COUNTY DETENTION CENTER (MCDC),1,NA,NA
ICE,MOSHANNON VALLEY PROCESSING CENTER (MVPC),1,NA,NA
ICE,NORTHEAST OHIO CORRECTIONAL CENTER (NEOCC),1,NA,NA
ICE,NORTHWEST DETENTION CENTER (NWDC),1,NA,NA
ICE,OTERO COUNTY PROCESSING CENTER (OCPC),1,NA,NA
ICE,PORT ISABEL DETENTION CENTER,1,NA,NA
ICE,PORT ISABEL DETENTION CENTER (PIDC),1,NA,NA
ICE,"PORT ISABEL DETENTION CENTER (PIDC) IN LOS FRESNOS, TX",1,NA,NA
ICE,PRAIRIELAND DETENTION CENTER,1,NA,NA
ICE,PRAIRIELAND DETENTION CENTER (PDC),1,NA,NA
ICE,RICHWOOD CORRECTIONAL CENTER (RCC),1,NA,NA
ICE,"SDC, IN LUMPKIN, GA",1,NA,NA
ICE,STEWARD DETENTION CENTER (SDC),1,NA,NA
ICE,WINN CORRECTIONAL CENTER (WCC),1,NA,NA
ICE,WORCESTER COUNTY JAIL (WCJ),1,NA,NA
ID,ADAMS COUNTY JAIL,1,"ST. ANTHONY WORK CAMP, IDAHO CORRECTIONAL CENTER",NA
ID,IDAHO CORRECTIONAL INSTITUTION - OROFINO,1,IDAHO CORRECTIONAL INSTITUTION - OROFINO,IDAHO CORRECTIONAL INSTITUTION - OROFINO
ID,MADISON COUNTY JAIL,1,ST. ANTHONY WORK CAMP,NA
ID,NEZ PERCE COUNTY JAIL,1,ST. ANTHONY WORK CAMP,NA
ID,SAGUARO CORRECTIONAL CENTER,1,IDAHO CORRECTIONAL CENTER,NA
KY,GREEN RIVER CORRECTIONAL COMPLEX,1,GREEN RIVER CORRECTIONAL COMPLEX,GREEN RIVER CORRECTIONAL COMPLEX
MN,MINNESOTA CORRECTIONAL FAC - OAK PARK HEIGHTS,1,MINNESOTA CORRECTIONAL FAC - OAK PARK HEIGHTS,MINNESOTA CORRECTIONAL FAC - OAK PARK HEIGHTS
MN,MINNESOTA CORRECTIONAL FACILITY - STILLWATER,1,MINNESOTA CORRECTIONAL FACILITY - STILLWATER,MINNESOTA CORRECTIONAL FACILITY - STILLWATER
MT,MONTANA WOMEN'S PRISON,1,MONTANA WOMEN'S PRISON,MONTANA WOMEN'S PRISON
NC,CALDWELL CORRECTIONAL CENTER,1,CALDWELL CORRECTIONAL CENTER,CALDWELL CORRECTIONAL CENTER
NC,CRAGGY CORRECTIONAL CENTER,1,CRAGGY CORRECTIONAL CENTER,CRAGGY CORRECTIONAL CENTER
NC,EASTERN CORRECTIONAL INSTITUTION,1,EASTERN CORRECTIONAL INSTITUTION,EASTERN CORRECTIONAL INSTITUTION
NC,GASTON CORRECTIONAL CENTER,1,GASTON CORRECTIONAL CENTER,GASTON CORRECTIONAL CENTER
NC,HARNETT CORRECTIONAL INSTITUTION,1,HARNETT CORRECTIONAL INSTITUTION,HARNETT CORRECTIONAL INSTITUTION
NC,HYDE CORRECTIONAL INSTITUTION,1,HYDE CORRECTIONAL INSTITUTION,HYDE CORRECTIONAL INSTITUTION
NC,JOHNSTON CORRECTIONAL CENTER,1,JOHNSTON CORRECTIONAL CENTER,JOHNSTON CORRECTIONAL CENTER
NC,POLK CORRECTION INSTITUTION,1,POLK CORRECTION INSTITUTION,POLK CORRECTION INSTITUTION
NE,CCC-O,1,WORK ETHIC CAMP - MCCOOK,NA
NE,OCC,1,WORK ETHIC CAMP - MCCOOK,NA
NE,WEC,1,WORK ETHIC CAMP - MCCOOK,NA
NH,SECURE PSYCHIATRIC UNIT,1,SECURE PSYCHIATRIC UNIT,SECURE PSYCHIATRIC UNIT
NM,OTERO COUNTY PRISON FACILITY,1,CIBOLA COUNTY CI,NA
NM,SOUTHERN NEW MEXICO CORRECTIONAL FACILITY,1,SOUTHERN NEW MEXICO CORRECTIONAL FACILITY,SOUTHERN NEW MEXICO CORRECTIONAL FACILITY
OK,DAVIS CORRECTIONAL FACILITY,1,LAWTON CORRECTIONAL FACILITY,NA
OK,EDDIE WARRIOR CORRECTIONAL CENTER,1,EDDIE WARRIOR CORRECTIONAL CENTER,EDDIE WARRIOR CORRECTIONAL CENTER
OK,JOSEPH HARP CORRECTIONAL CENTER,1,JOSEPH HARP CORRECTIONAL CENTER,JOSEPH HARP CORRECTIONAL CENTER
OK,NORTHEAST OKLAHOMA CORRECTIONAL CENTER,1,NORTHEAST OKLAHOMA CORRECTIONAL CENTER,NORTHEAST OKLAHOMA CORRECTIONAL CENTER
OR,COLUMBIA RIVER CORRECTIONAL INSTITUTION,1,COLUMBIA RIVER CORRECTIONAL INSTITUTION,COLUMBIA RIVER CORRECTIONAL INSTITUTION
OR,EASTERN OREGON CORRECTIONAL INSTITUTION,1,EASTERN OREGON CORRECTIONAL INSTITUTION,EASTERN OREGON CORRECTIONAL INSTITUTION
PA,​LAUREL HIGHLANDS,1,SCI LAUREL HIGHLANDS,NA
PA,​RETREAT,1,SCI RETREAT,NA
PA,​WAYMART,1,SCI WAYMART,NA
SC,LIEBER CORRECTIONAL INSTITUTION,1,LIEBER CORRECTIONAL INSTITUTION,LIEBER CORRECTIONAL INSTITUTION
SC,MANNING CORRECTIONAL INSTITUTION,1,MANNING CORRECTIONAL INSTITUTION,MANNING CORRECTIONAL INSTITUTION
SC,WATEREE RIVER CORRECTIONAL INSTITUTION,1,WATEREE RIVER CORRECTIONAL INSTITUTION,WATEREE RIVER CORRECTIONAL INSTITUTION
TN,TROUSDALE TURNER CORRECTIONAL CENTER,1,SOUTH CENTRAL CORRECTIONAL CENTER,NA
TN,TURNEY CENTER INDUSTRIAL COMPLEX-ANNEX (TCIX-A),1,TURNEY CENTER INDUSTRIAL COMPLEX - ANNEX,TURNEY CENTER INDUSTRIAL COMPLEX - ANNEX
TN,WOMEN'S THERAPEUTIC RESIDENTIAL CENTER (WTRC),1,THE SALVATION ARMY RESIDENTIAL REENTRY CENTER,NA
VA,LAWRENCEVILLE CORRECTIONAL CENTER,1,LAWRENCEVILLE CORRECTIONAL CENTER,LAWRENCEVILLE CORRECTIONAL CENTER
VA,SUSSEX I STATE PRISON,1,SUSSEX I STATE PRISON,SUSSEX I STATE PRISON
VA,SUSSEX II STATE PRISON,1,SUSSEX II STATE PRISON,SUSSEX II STATE PRISON
VA,VIRGINIA CORRECTIONAL CENTER FOR WOMEN,1,VIRGINIA CORRECTIONAL CENTER FOR WOMEN,VIRGINIA CORRECTIONAL CENTER FOR WOMEN
VT,MARBLE VALLEY REGIONAL CORRECTIONAL FACILITY,1,MARBLE VALLEY REGIONAL CORRECTIONAL FACILITY,MARBLE VALLEY REGIONAL CORRECTIONAL FACILITY
WY,WYOMING STATE PENITENTIARY,1,WYOMING STATE PENITENTIARY,WYOMING STATE PENITENTIARY
NA,COLUMBIA ANNEX,1,NA,NA
NA,DELORES J. BAYLOR WOMAN'S CORRECTIONAL INSTITUTION,1,NA,NA
NA,HAMILTON ANNEX,1,NA,NA
NA,HERNANDO CI,1,NA,NA
NA,HOMESTEAD CI,1,NA,NA
NA,LAKE CITY CF,1,NA,NA
NA,LOWELL ANNEX,1,NA,NA
NA,NEW RIVER CI,1,NA,NA
NA,QUINCY ANNEX,1,NA,NA
NA,RED ROCK CORRECTIONAL CENTER,1,NA,NA
NA,SUWANNEE CI ANNEX,1,NA,NA
